Id,Character,JlptLevel,Meaning,StrokeCount,Freq,AllRebs
2109,凍,N2,ĐỐNG,10,1284," トウ | ふゆ"
2665,堀,N1,QUẬT,11,1285," タイ サイ | ほとほと ほとん.ど あやうい"
2516,腹,N3,PHÚC,13,1286," フク"
579,菊,N1,CÚC,11,1287," キク コク | きく.す むす.ぶ すく.う たなごころ"
959,絞,N1,"GIẢO, HÀO",12,1288," コウ | おおづな つな つなぐ"
2232,乳,N2,NHŨ,8,1289," ニチ ジツ | ひ -び -か"
241,煙,N3,YÊN,13,1290," エン | ほのお"
244,縁,N1,DUYÊN,15,1291," エン | さる"
2799,唯,N1,"DUY, DỤY",11,1292," ユ シュ"
2644,膨,N1,BÀNH,16,1293," ボウ"
2782,矢,N1,THỈ,5,1294," ミ ビ | いや や あまねし いよいよ とおい ひさし ひさ.しい わた.る"
1812,耐,N1,NẠI,9,1295," タイ ツイ | あいて こた.える そろ.い つれあ.い なら.ぶ むか.う"
2973,恋,N2,LUYẾN,10,1296," レン"
1339,塾,N1,THỤC,14,1297," シュク スク | つつし.む"
2998,漏,N1,LẬU,14,1298," ロウ"
957,紅,N2,HỒNG,9,1299," コウ | ぬか"
765,慶,N1,"KHÁNH, KHƯƠNG, KHANH",15,1300," ケイ エ | めぐ.む めぐ.み"
2754,猛,N1,MÃNH,11,1301," モウ | け"
2615,芳,N1,PHƯƠNG,7,1302," ホウ"
1959,懲,N1,TRỪNG,18,1303," チョウ チ | しるし"
974,郊,N2,GIAO,9,1304," コウ"
814,剣,N1,KIẾM,10,1305," ケン"
1005,腰,N2,YÊU,13,1306," ロク | こ.し こ.す す.く"
1883,炭,N2,THÁN,9,1307," タン チン ジン セン | しず.む たた.える"
2853,踊,N2,DŨNG,14,1308," ヨウ | うた.い うた.う"
1407,彰,N1,CHƯƠNG,14,1310," ショウ"
540,棋,N1,"KÌ, KÍ",12,1311," キ ゴ"
1947,丁,N1,"ĐINH, CHÊNH, TRANH",2,1312," チョ | た.める たくわ.える"
1104,冊,N2,SÁCH,5,1313," シ | さじ"
934,恒,N1,"HẰNG, CẮNG, CĂNG",9,1314," コウ グ | ひろ.い"
2720,眠,N3,MIÊN,10,1315," ミン | たみ"
2836,揚,N1,DƯƠNG,12,1316," ヨウ"
2641,冒,N1,"MẠO, MẶC",9,1317," ボウ"
2255,之,N1,CHI,3,1318," ナイ ダイ ノ アイ | すなわ.ち なんじ"
2802,勇,N2,DŨNG,9,1319," ユウ ウ | やさ.しい すぐ.れる まさ.る"
356,械,N2,GIỚI,11,1321," カイ | つごもり くら.い みそか くら.む"
2934,倫,N1,LUÂN,10,1322," リョク ロク | みどり"
1987,陳,N1,"TRẦN, TRẬN",11,1323," チン | しず.める しず.まる おさえ"
276,憶,N1,ỨC,16,1324," オク | や"
2481,怖,N3,"PHỐ, BỐ",8,1325," フ"
827,犬,N4,KHUYỂN,4,1326," ケン | ひ.く"
1069,菜,N2,THÁI,11,1327," サイ | ほそ.い ほそ.る こま.か こま.かい"
1209,耳,N3,NHĨ,6,1328," ジ ニ | しこ.うして しか.して しか.も しか.れども すなわち なんじ しかるに"
1663,潜,N1,TIỀM,15,1329," セン | そ.める -ぞ.め -ぞめ そ.まる し.みる -じ.みる し.み -し.める"
1984,珍,N2,TRÂN,9,1330," チン ジン | しず.む しず.める"
2888,梨,N1,LÊ,11,1331," リ | すもも"
1527,仁,N1,NHÂN,4,1332," ジン ニン | ひと -り -と"
995,克,N1,KHẮC,7,1333," キク | こうじ"
410,岳,N1,NHẠC,8,1334," ガク | まな.ぶ"
374,概,N1,KHÁI,14,1335," ガイ"
937,拘,N1,"CÂU, CÙ",8,1336," コウ | あらが.う"
2586,墓,N1,MỘ,13,1337," ボ | つの.る"
2761,黙,N1,MẶC,15,1338," ボク モク | き こ-"
1541,須,N1,TU,12,1339," シュ ス | そう はか.る"
2562,偏,N1,THIÊN,11,1340," ヘイ ハイ | へら の くし"
2537,雰,N1,PHÂN,12,1341," フン | まぎ.れる -まぎ.れ まぎ.らす まぎ.らわす まぎ.らわしい"
2877,卵,N2,NOÃN,7,1342," ラン ロン | みだ.れる みだ.る みだ.す みだ おさ.める わた.る"
723,遇,N1,NGỘ,12,1343," グウ グ ドウ | ぐう.する かこつ.ける よ.せる よ.る かりずまい"
